"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","Pará","Urbana","Homem",52,"Parda",4,"16 anos ou mais de estudo",2000
"2021","1","Rio Grande do Sul","Urbana","Homem",77,"Branca",3,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Sergipe","Urbana","Mulher",36,"Parda",4,"4 anos de estudo",NA
"2021","1","Minas Gerais","Urbana","Mulher",47,"Branca",4,"16 anos ou mais de estudo",2000
"2021","1","Santa Catarina","Urbana","Homem",34,"Branca",3,"14 anos de estudo",2200
"2021","1","Pernambuco","Urbana","Homem",14,"Parda",3,"9 anos de estudo",NA
"2021","1","Rio Grande do Norte","Urbana","Mulher",68,"Parda",4,"12 anos de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",75,"Parda",2,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Ceará","Rural","Mulher",16,"Parda",3,"10 anos de estudo",NA
"2021","1","Maranhão","Urbana","Homem",15,"Parda",3,"9 anos de estudo",NA
"2021","1","Rio Grande do Norte","Urbana","Mulher",76,"Branca",2,"6 anos de estudo",NA
"2021","1","Minas Gerais","Urbana","Homem",32,"Branca",6,"6 anos de estudo",NA
"2021","1","Tocantins","Rural","Homem",61,"Branca",2,"8 anos de estudo",3500
"2021","1","Pernambuco","Rural","Mulher",22,"Branca",2,"4 anos de estudo",NA
"2021","1","Ceará","Urbana","Homem",23,"Branca",5,"12 anos de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",11,"Branca",4,"4 anos de estudo",NA
"2021","1","Santa Catarina","Urbana","Homem",4,"Branca",6,NA,NA
"2021","1","Alagoas","Rural","Homem",3,"Parda",4,NA,NA
"2021","1","Rondônia","Urbana","Mulher",55,"Parda",2,"2 anos de estudo",NA
"2021","1","Minas Gerais","Rural","Mulher",25,"Preta",4,"12 anos de estudo",NA
"2021","1","Alagoas","Urbana","Homem",17,"Parda",7,"10 anos de estudo",NA
"2021","1","Rio Grande do Norte","Urbana","Mulher",63,"Parda",6,"5 anos de estudo",NA
"2021","1","Rio de Janeiro","Urbana","Homem",19,"Branca",6,"10 anos de estudo",NA
"2021","1","Goiás","Urbana","Mulher",6,"Parda",5,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Pará","Rural","Homem",47,"Parda",2,"12 anos de estudo",1220
"2021","1","Alagoas","Rural","Mulher",19,"Branca",5,"12 anos de estudo",NA
"2021","1","Ceará","Urbana","Mulher",6,"Parda",2,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Pernambuco","Rural","Mulher",39,"Parda",4,"10 anos de estudo",NA
"2021","1","Maranhão","Rural","Mulher",32,"Branca",3,"12 anos de estudo",150
"2021","1","Rio Grande do Sul","Urbana","Homem",0,"Branca",3,NA,NA
"2021","1","Minas Gerais","Urbana","Mulher",8,"Parda",4,"2 anos de estudo",NA
"2021","1","Goiás","Urbana","Homem",37,"Parda",2,"9 anos de estudo",2900
"2021","1","Roraima","Urbana","Homem",55,"Parda",6,"6 anos de estudo",2000
"2021","1","Maranhão","Urbana","Mulher",16,"Preta",7,"10 anos de estudo",NA
"2021","1","Amazonas","Rural","Homem",43,"Parda",10,"12 anos de estudo",1308
"2021","1","Paraná","Urbana","Mulher",57,"Branca",2,"9 anos de estudo",NA
"2021","1","Acre","Urbana","Mulher",35,"Parda",3,"12 anos de estudo",1045
"2021","1","Bahia","Urbana","Homem",73,"Parda",1,"5 anos de estudo",1061
"2021","1","Bahia","Urbana","Homem",49,"Preta",5,"12 anos de estudo",NA
"2021","1","Amazonas","Urbana","Mulher",12,"Branca",10,"5 anos de estudo",NA
"2021","1","Paraíba","Urbana","Mulher",23,"Parda",4,"16 anos ou mais de estudo",NA
"2021","1","Minas Gerais","Urbana","Mulher",44,"Branca",4,"12 anos de estudo",1100
"2021","1","Amapá","Urbana","Homem",49,"Parda",7,"Sem instrução e menos de 1 ano de estudo",800
